hhtyp,incgrp,unit,age,sex,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
TOTAL,TOTAL,PC_POP,TOTAL,M,SK	2.9 	2.9 	2.6 	0.5 b	1.2 	1.2 	1.5 	1.2 	0.5 	1.4 	1.4 	1.6 
TOTAL,TOTAL,PC_POP,TOTAL,M,TR	: 	14.2 	13.5 	13.4 	12.4 	: 	9.0 	9.0 	8.7 	7.5 	6.4 	: 
TOTAL,TOTAL,PC_POP,TOTAL,M,UK	0.9 	0.8 	0.8 	0.8 	0.5 	0.6 	0.2 	0.3 b	0.2 	0.4 	0.4 	0.5 
TOTAL,TOTAL,PC_POP,TOTAL,T,AT	1.5 	0.9 	1.5 	1.5 b	1.3 	1.2 	1.2 	1.0 	1.0 	1.0 	1.0 	0.9 
TOTAL,TOTAL,PC_POP,TOTAL,T,BE	1.2 	1.1 	0.7 	0.8 	0.6 	0.3 	1.4 	2.1 	2.0 	2.1 	2.3 	1.7 
TOTAL,TOTAL,PC_POP,TOTAL,T,BG	35.4 	35.4 	33.6 	29.1 	26.2 	24.6 	24.8 	22.4 	21.4 	20.6 	18.6 	18.5 b
TOTAL,TOTAL,PC_POP,TOTAL,T,CH	: 	: 	1.9 	0.0 n	0.1 	0.1 	0.1 	0.1 	0.0 n	0.2 b	0.0 n	: 
TOTAL,TOTAL,PC_POP,TOTAL,T,CY	1.6 	1.7 	1.4 	1.0 b	0.8 	1.1 	1.2 	0.9 	1.1 	1.0 	0.9 	: 
TOTAL,TOTAL,PC_POP,TOTAL,T,CZ	2.0 	1.3 	1.2 	1.1 	0.7 	0.7 	0.7 	0.9 	0.9 	0.7 	0.6 	0.5 
TOTAL,TOTAL,PC_POP,TOTAL,T,DE	0.9 	1.5 	1.2 	1.3 	1.2 	1.6 	0.9 	0.9 	0.1 	0.0 n	0.1 	: 
TOTAL,TOTAL,PC_POP,TOTAL,T,DK	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.6 	0.4 	0.6 	0.5 	0.6 	0.6 
TOTAL,TOTAL,PC_POP,TOTAL,T,EA18	1.2 e	1.3 e	1.1 	0.9 	0.9 	0.9 	0.8 	0.8 e	0.7 	0.5 	0.5 	: 
TOTAL,TOTAL,PC_POP,TOTAL,T,EA19	1.5 e	1.5 e	1.3 	1.1 	1.0 	1.0 	1.0 	0.9 e	0.8 	0.7 	0.6 	: 
TOTAL,TOTAL,PC_POP,TOTAL,T,EE	17.0 	15.8 	15.0 	13.4 	12.2 	11.1 	9.6 	8.6 	8.1 	7.2 b	6.9 	: 
TOTAL,TOTAL,PC_POP,TOTAL,T,EL	3.6 	3.2 	3.2 	2.5 	1.8 	1.4 	0.9 	0.5 	0.7 	0.5 	0.5 	0.4 
TOTAL,TOTAL,PC_POP,TOTAL,T,ES	0.5 	0.3 	0.3 	0.1 	0.0 n	0.0 	0.0 n	0.1 	0.1 	0.1 	0.1 	0.3 
TOTAL,TOTAL,PC_POP,TOTAL,T,EU27	: 	: 	4.1 	3.6 	3.4 	3.3 	3.0 	2.9 e	2.7 	2.5 	2.4 	: 
TOTAL,TOTAL,PC_POP,TOTAL,T,EU28	: 	: 	: 	: 	: 	3.3 	3.0 	2.9 e	2.7 	2.5 	2.4 	: 
