date,temp
19870731,16.745
19870831,16.142
19870930,14.693
19871031,10.717
19871130,6.723
19871231,4.284
19880131,5.761
19880228,4.459
19880331,4.981
19880430,8.6
19880531,14.291
19880630,14.739
19880731,15.915
19880831,16.56
19880930,13.879
19881031,10.842
19881130,6.049
19881231,6.915
19890131,4.377
19890228,5.242
19890331,8.145
19890430,6.832
19890531,14.564
19890630,15.665
19890731,18.02
19890831,17.146
19890930,15.471
19891031,12.26
19891130,5.468
19891231,4.724
19900131,5.585
19900228,7.523
19900331,8.373
19900430,8.801
19900531,13.853
19900630,14.934
19900731,16.845
19900831,18.413
19900930,13.003
19901031,11.92
19901130,6.097
19901231,4.065
19910131,3.087
19910228,-0.86
19910331,8.665
19910430,8.437
19910531,9.926
19910630,12.646
19910731,18.912
19910831,17.902
19910930,14.932
19911031,10.113
19911130,5.206
19911231,3.831
19920131,2.612
19920228,4.834
19920331,6.767
19920430,8.616
19920531,15.525
19920630,17.151
19920731,18.159
19920831,17.736
19920930,14.548
19921031,7.899
19921130,7.898
19921231,3.585
19930131,4.959
19930228,2.338
19930331,5.695
19930430,11.051
19930531,14.218
19930630,15.784
19930731,16.024
19930831,15.127
19930930,12.988
19931031,8.869
19931130,2.078
19931231,4.991
19940131,5.077
19940228,1.379
19940331,7.216
19940430,8.067
19940531,12.261
19940630,14.933
19940731,21.251
19940831,17.471
19940930,13.503
19941031,9.251
19941130,10.08
19941231,5.193
19950131,3.725
19950228,6.578
19950331,5.396
19950430,9.095
19950531,12.718
19950630,14.642
19950731,20.012
19950831,19.589
19950930,14.115
19951031,12.576
19951130,6.709
19951231,-0.988
19960131,-0.199
19960228,0.45
19960331,3.104
19960430,9.281
19960531,10.62
19960630,15.561
19960731,16.149
19960831,17.198
19960930,12.381
19961031,10.665
19961130,5.758
19961231,0.491
19970131,-1.303
19970228,6.129
19970331,7.893
19970430,7.727
19970531,12.655
19970630,15.847
19970731,17.293
19970831,20.442
19970930,14.197
19971031,9.629
19971130,6.547
19971231,4.884
19980131,4.631
19980228,6.246
19980331,7.447
19980430,9.306
19980531,14.831
19980630,15.702
19980731,16.192
19980831,16.392
19980930,14.939
19981031,9.75
19981130,3.569
19981231,4.453
19990131,5.094
19990228,2.948
19990331,7.223
19990430,9.731
19990531,14.094
19990630,14.858
19990731,19.023
19990831,17.391
19990930,17.241
19991031,10.517
19991130,6.598
19991231,4.662
20000131,4.219
20000228,5.745
20000331,6.687
20000430,9.877
20000531,14.622
20000630,15.893
20000731,15.409
20000831,17.306
20000930,15.707
20001031,11.209
20001130,7.68
20001231,4.958
20010131,2.495
20010228,4.357
20010331,4.834
20010430,8.172
20010531,14.031
20010630,15.046
20010731,18.421
20010831,18.373
20010930,13.322
20011031,14.108
20011130,7.009
20011231,2.747
20020131,4.307
20020228,7.002
20020331,7.11
20020430,9.218
20020531,13.259
20020630,16.391
20020731,17.439
20020831,18.485
20020930,14.441
20021031,9.349
20021130,7.754
20021231,2.778
20030131,2.38
20030228,1.701
20030331,7.203
20030430,9.817
20030531,13.067
20030630,17.727
20030731,18.722
20030831,19.142
20030930,13.807
20031031,7.351
20031130,7.883
20031231,3.887
20040131,3.473
20040228,4.706
20040331,5.808
20040430,10.239
20040531,12.179
20040630,15.409
20040731,16.589
20040831,18.728
20040930,15.062
20041031,11.195
20041130,6.176
20041231,3.124
20050131,5.139
20050228,2.274
20050331,6.426
20050430,10.271
20050531,12.459
20050630,16.645
20050731,17.539
20050831,16.078
20050930,15.601
20051031,13.226
20051130,6.734
20051231,3.862
20060131,1.348
20060228,2.773
20060331,3.816
20060430,8.867
20060531,14.38
20060630,16.56
20060731,22.193
20060831,16.238
20060930,17.8
20061031,13.461
20061130,9.04
20061231,6.389
20070131,6.977
20070228,5.919
20070331,7.848
20070430,12.94
20070531,14.006
20070630,17.36
20070731,16.893
20070831,16.993
20070930,13.67
20071031,9.951
20071130,6.793
20071231,3.66
20080131,6.386
20080229,5.021
20080331,5.783
20080430,8.81
20080531,15.557
20080630,16.37
20080731,17.935
20080831,17.277
20080930,13.493
20081031,9.964
20081130,6.736
20081231,2.331
20090131,0.68
20090228,3.19
20090331,6.209
20090430,12.06
20090531,13.738
20090630,15.526
20090731,17.964
20090831,18.338
20090930,14.846
20091031,10.577
20091130,9.356
20091231,2.109
20100131,-0.572
20100228,1.483
20100331,6.318
20100430,9.606
20100531,10.377
20100630,16.323
20100731,19.757
20100831,16.67
20100930,13.436
20101031,10.286
20101130,5.69
20101231,-1.262
20110131,3.402
20110228,4.462
20110331,5.931
20110430,13
20110531,13.857
20110630,16
20110731,15.773
20110831,16.77
20110930,15.523
20111031,11.302
20111130,7.073
20111231,6.364
20120131,4.764
20120229,0.683
20120331,8.177
20120430,8.266
20120531,14.335
20120630,14.75
20120731,17.138
20120831,18.341
20120930,14.036
20121031,10.386
20121130,6.723
20121231,4.922
20130131,1.899
20130228,1.544
20130331,2.338
20130430,8.01
20130531,11.377
20130630,15.136
20130731,19.073
20130831,17.954
20130930,14.33
20131031,12.051
20131130,6.613
20131231,5.809
20140131,5.535
20140228,6.383
20140331,8.296
20140430,11.996
20140531,13.122
20140630,16.066
20140731,19.635
20140831,15.973
20140930,15.736
20141031,13.312
20141130,8.056
20141231,4.728
20150131,3.902
20150228,3.372
20150331,6.041
20150430,8.873
20150531,12.248
20150630,15.483
20150731,18.267
20150831,18.338
20150930,13.283
20151031,9.773
20151130,9.763
20151231,9.512
20160131,4.667
20160229,4.466
20160331,5.241
20160430,8.563
20160531,14.393
20160630,16.703
20160731,18.254
20160831,17.764
20160930,17.146
20161031,9.77
20161130,5.296
20161231,4.551
20170131,1.448
20170228,4.933
20170331,8.477
20170430,8.44
20170531,14.854
20170630,17.926
20170731,17.828
20170831,17.131
